Ids,                   Text,,,,,,,,,,,,Result
25,Hanging in Crooners. Wanna sing. Can't. Sucks. ,,,,,,,,,,,,bully
26,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,,,,,,,,,,,,bully
27,Is pissed off that there's no ASBA's for a radio station. ,,,,,,,,,,,,bully
28,wednesday my b-day n don't know what 2 do!  ,,,,,,,,,,,,bully
29,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,,,,,,,,,,,,bully
30,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,,,,,,,,,,,,bully
31,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",,,,,,,,,,,,bully
32,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,,,,,,,,,,,,positive
33,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",,,,,,,,,,,,positive
34,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,,,,,,,,,,,,positive
35,I'm so cold ,,,,,,,,,,,,positive
36,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,,,,,,,,,,,,positive
37,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,,,,,,,,,,,,positive
38,Hoping the tummy rumbles go away soon ,,,,,,,,,,,,positive
39,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",,,,,,,,,,,,Positive
40,almost bedtime ,,,,,,,,,,,,assult
41,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,,,,,,,,,,,,Assult
42,Agh...snow!!! ,,,,,,,,,,,,Assult
43,i miss kenny powers ,,,,,,,,,,,,Assult
44,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",,,,,,,,,,,,bully
45,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",,,,,,,,,,,,bully
46,@JonathanRKnight I guess that's a no then. ,,,,,,,,,,,,bully
47,sadly is going to bed. ,,,,,,,,,,,,bully
48,@ozesteph1992 Shame to hear this Stephan ,,,,,,,,,,,,bully
49,@mrsaintnick hey! i'm leavin in the morning... ,,,,,,,,,,,,bully
50,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",,,,,,,,,,,,bully
51,laid around too much today... now my head hurts ,,,,,,,,,,,,bully
52,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,,,,,,,,,,,,bully
53,my nokia 1110 died..  ,,,,,,,,,,,,bully
54,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,,,,,,,,,,,,bully
55,Going to sleep. Hoping tomorrow is a better day. ,,,,,,,,,,,,bully
56,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,,,,,,,,,,,,bully
57,@onemoreproject that is lame ,,,,,,,,,,,,bully
58,I don't understand... I really don't ,,,,,,,,,,,,crime
59,HEROES just isn't doing it for me this season... ,,,,,,,,,,,,crime
60,Living not downtown sure isn't much fun.  ,,,,,,,,,,,,crime
61,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,,,,,,,,,,,,crime
62,Man Work is Hard ,,,,,,,,,,,,crime
63,"getting sick  time for some hot tea, studying, and then sleeeep",,,,,,,,,,,,crime
